dendrita,joven 1 viejo 2
m161 2,1
m16 1 3,1
m16 1 8,1
m16 1 9,1
m16 1 1,1
m16 1 5-1,1
m16 1 9-1,1
m16 2 3,1
m16 2 8,1
m16 2 11,1
if6 1 1,2
if6 1 6,2
if6 2 0,2
if6 2 2,2
if6 2 11,2
if6 2 5,2
if6 2 11,2
if6 1 11,2
if6 1 9,2
if6 2 4,2
m16 1 5,1
m16 1 2,1
m16 1 3,1
m16 1 8,1
m16 1 9,1
m16 1 1,1
m16 1 5-1,1
m16 1 9-1,1
m16 2 3,1
m16 2 8,1
m16 2 11,1
if6 1 1,2
if6 1 6,2
if6 2 0,2
if6 2 2,2
if6 2 11,2
if6 2 5,2
if6 2 11,2
if6 1 11,2
if6 1 8,2
if6 2 4,2
m16 1 5,1
if6 2 15,2
m16 2 4,1
if6 1 2,2
if6 1 3,2
if6 1 4,2
if6 1 5,2
m16 1 6,1
m16 2 10,1
if6 2 7,2
